what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1486158426714
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1486158426715
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1486158426716
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1486158426716
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1486158426717
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1486158426718
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1486158426719
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1486158426719
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1486158426720
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1486158426721
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1486158426721
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1486158426721
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1486158426722
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1486158426722
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1486158426723
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1486158426723
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1486158426724
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1486158426725
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1486158426726
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1486158426726
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1486158426727
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1486158426728
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1486158426729
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1486158426730
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1486158426730
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1486158426730
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1486158426731
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1486158426732
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1486158426733
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486158426733
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486158426734
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486158426734
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486158426735
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486158426736
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486158426736
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486158426737
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486158426737
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486158426738
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486158426738
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486158426739
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486158426739
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486158426740
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486158426740
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486158426740
os,sysinfo,,,"linux",1486158426743
arch,sysinfo,,,"x86",1486158426743
ws,sysinfo,,,"gtk",1486158426743
locale,sysinfo,,,"en_US",1486158426743
processors,sysinfo,,,"8",1486158426743
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486158426743
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486158426743
java.specification.name,sysinfo,,,"Java Platform API Specification",1486158426743
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486158426743
java.specification.version,sysinfo,,,"1.6",1486158426743
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486158426743
java.version,sysinfo,,,"1.6.0_23",1486158426743
java.vm.info,sysinfo,,,"mixed mode",1486158426743
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486158426743
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486158426743
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486158426743
java.vm.specification.version,sysinfo,,,"1.0",1486158426743
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486158426743
java.vm.version,sysinfo,,,"19.0-b09",1486158426743
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1486158427483
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1486158429458
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1486158430933
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1486158430933
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1486158430937
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1486158432065
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1486158432660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158432774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158436233
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486158436283
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486158437175
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1486158437323
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1486158437328
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1486158437329
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1486158437329
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1486158437334
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486158441621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158456793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158498709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158501617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158503405
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486158508988
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486158514504
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486158514519
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486158514532
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1486158519174
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486158526853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1486158528568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1486158529609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158529615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158538694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1486158583239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486158587526
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1486158587923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158589499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158589902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158592568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486158594081
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486158597637
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1486158598363
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1486158602357
